Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Щириця,Ірена,Петрівна,Жіноча,02.03.1992,Стоматолог,село Виноградів,"площа Лінія 53-тя, буд. 79 кв. 9, Моспине, 47864",+380 (17) 191-57-85,okhrymovychmyron@example.com
Вовк,Пантелеймон,Іванович,Чоловіча,29.09.1991,Зоолог,селище Вишгород,"провулок Сергія Ядова, буд. 585, Нетішин, 33215",013 015 88 58,usyknadiia@example.org
Джунь,Олег,Михайлович,Чоловіча,03.10.2002,Намотувальник,село Березне,"провулок Зоопаркова, буд. 9, Сніжне, 74958",688-61-40,ustenkoalbert@example.org
Гаврилів,Устим,Сергійович,Чоловіча,28.06.1950,Електрослюсар,селище Бахмач,"сквер Стороженка Олега, буд. 994, Бахчисарай, 20954",+380 42 645-67-28,verkholafrants@example.com
Артюх,Георгій,Сергійович,Чоловіча,28.09.1955,Електромонтер,селище Нова Одеса,"шосе Казковий, буд. 828, Сквира, 82774",+380 (16) 280-86-20,lesiaremko@example.net
Колесниченко,Варфоломій,Дмитрович,Чоловіча,21.06.1955,Фотограф,місто Приморськ (Україна),"набережна 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Шумськ, 69333",672-33-74,qshmorhun@example.org
Шухевич,Амвросій,Михайлович,Чоловіча,12.02.1997,М'ясник,хутір Армянськ,"проспект Травневий 5-й, буд. 955 кв. 1, Костопіль, 16953",073 116-24-34,iarynahaidenko@example.com
Філіпенко,Трохим,Петрович,Чоловіча,11.03.1977,Паблік рилейшнз,селище Алчевськ,"вулиця Дальня, буд. 5, Хотин, 89111",+380 (54) 326-83-34,iaroslavshapoval@example.net
Теліженко,Віктор,Андрійович,Чоловіча,22.03.1963,Геолог,місто Феодосія,"площа Штабний, буд. 6 кв. 67, Барвінкове, 91372",+380 (04) 720-60-64,martynbandurka@example.net
Ващенко,Галина,Сергіївна,Жіноча,12.06.1980,М'ясник,хутір Пирятин,"парк Квіткова, буд. 034 кв. 30, Сарни, 25481",894 29 87,ada12@example.org
Базавлученко,Левко,Єгорович,Чоловіча,03.07.1968,Менеджер,місто Городище ,"проспект Любашівський, буд. 96, Слов'янськ, 57806",+380 71 837-83-30,maryna44@example.net
Вакарчук,Орина,Володимирівна,Жіноча,12.07.1958,Географ,хутір Люботин,"парк Щіпний, буд. 452 кв. 9, Конотоп, 53065",+380 (72) 628-16-80,albinamazur@example.net
Дубина,Опанас,Андрійович,Чоловіча,31.10.1942,Мікробіолог,село Долинська,"набережна Михайлівська, буд. 414, Гола Пристань, 54597",084 278-57-24,mykhailo72@example.com
Якименко,Роман,Андрійович,Чоловіча,06.05.1964,Секретар,селище Жидачів,"шосе Добровольського, буд. 946 кв. 2, Новгород-Сіверський, 08292",+380 69 800-55-01,anastasiiazhaivoron@example.com
Токар,Алевтин,Андрійович,Чоловіча,20.05.1941,Актор,селище Вінниця,"сквер Леваневського тупик, буд. 807, Роздільна, 50848",+380 83 876-07-66,khrystynaaleksiichuk@example.net
Дзюба,Амалія,Петрівна,Жіноча,27.08.1963,Няня,селище Оріхів,"набережна Садова 5-та, буд. 35 кв. 951, Вільнянськ, 86567",071 276-55-93,svitlana73@example.com
Ткаченко,Костянтин,Андрійович,Чоловіча,16.05.1949,Намотувальник,місто Первомайськ,"провулок Мечникова, буд. 2, Турка, 33526",+380 09 057-72-16,zarubamykyta@example.net
Євтушок,Дарина,Дмитрівна,Жіноча,30.07.1992,Хімік,село Новоукраїнка,"парк Наявний 2-й, буд. 457 кв. 873, Коростишів, 14520",+380 (05) 420-37-30,bandurkastanislav@example.com
Бараник,Альбіна,Дмитрівна,Жіноча,07.09.2000,Громадський діяч,селище Кролевець,"провулок Ломоносова, буд. 99 кв. 849, Волноваха, 63082",174-52-52,shcherbakzorian@example.com
Лисенко,Франц,Миколайович,Чоловіча,07.02.1984,Модель,місто Чугуїв,"шосе Глиняна, буд. 409 кв. 415, Одеса, 66636",+380 37 384-48-77,stanislavmykytiuk@example.org
Заїка,Франц,Дмитрович,Чоловіча,07.01.1955,Ді-джей,хутір Молочанськ,"узвіз Мічуріна, буд. 8, Іршава, 49569",259-96-94,zlatoslava96@example.org
Уманець,Віра,Олександрівна,Жіноча,28.08.1964,Електрослюсар,селище Городня,"шосе Курортний 6-й, буд. 286 кв. 3, Балаклія, 88507",+380 16 304-48-88,edyta05@example.net
Їжак,Юстим,Андрійович,Чоловіча,10.09.1974,Державний службовець,місто Ватутіне,"площа Гранатна, буд. 7 кв. 828, Золочів, 33462",+380 58 751 35 41,khomykborys@example.org
Яремків,Семен,Сергійович,Чоловіча,21.02.1979,Живописець,хутір Березань ,"узвіз Івана Франка, буд. 82 кв. 12, Деражня, 88207",534 41 78,andreikofeofan@example.com
Ляшко,Лесь,Дмитрович,Чоловіча,30.03.1977,Електрослюсар,хутір Корець,"провулок Лермонтовський 2-й, буд. 34, Рені, 74865",232-06-02,gzhytskyiveniiamyn@example.net
Рябець,Марко,Дмитрович,Чоловіча,26.07.1994,Мистецтвознавець,місто Галич,"вулиця Ванцетті, буд. 0, Бершадь, 33400",030 941-07-34,ierchenkomykolai@example.org
Приймак,Мартин,Володимирович,Чоловіча,14.06.1951,Ювелір,село Миргород,"сквер Топольського, буд. 9, Новгород-Сіверський, 81855",010 496 33 85,vernyhoraleopold@example.com
Гриценко,Богуслава,Миколаївна,Жіноча,28.04.1999,Мірошник,хутір Ізяслав,"шосе Пересипський 1-й, буд. 33 кв. 0, Носівка, 52010",027 929 45 12,vivcharenkotereza@example.net
Дубенко,Лілія,Олександрівна,Жіноча,16.02.1949,Льотчик,селище Бердянськ,"сквер Юхима Фесенка, буд. 270 кв. 46, Гола Пристань, 64070",+380 05 962 96 99,tymchukoles@example.org
Тягнибок,Антон,Миколайович,Чоловіча,02.11.2007,Підприємець,селище Феодосія,"узвіз Дунайська, буд. 933, Новоазовськ, 72213",+380 (80) 263-63-84,hermantovstukha@example.net
Чекалюк,Амалія,Сергіївна,Жіноча,29.12.1945,Антрополог,село Олешки,"провулок Єрмака, буд. 24, Гадяч, 56512",+380 66 510-44-14,albertgerega@example.com
Баштан,Яків,Іванович,Чоловіча,28.01.1957,Шериф,хутір Перечин,"шосе Мелітопольська, буд. 224 кв. 74, Сміла, 09806",052-07-98,dshvedchenko@example.org
Гаврилів,Лілія,Петрівна,Жіноча,07.03.1982,Юрист,хутір Борзна,"узвіз Зернова, буд. 77, Ізюм, 24083",+380 28 430-39-97,xdanylchuk@example.org
Дейнеко,Людмила,Петрівна,Жіноча,23.11.1984,Сценарист,місто Кадіївка,"провулок Короткий, буд. 520 кв. 16, Старобільськ, 58275",460-06-78,chabanhlib@example.org
Оліфіренко,Василь,Іванович,Чоловіча,30.03.1984,Гірник,хутір Вишгород,"парк Льва Толстого, буд. 6 кв. 2, Копичинці, 60353",052 464 12 46,stepan84@example.org
Бакуменко,Марко,Михайлович,Чоловіча,01.09.1949,Композитор,селище Сколе,"проспект Шебелінський, буд. 219, Тячів, 06095",294-22-40,stefan98@example.org
Сич,Костянтин,Петрович,Чоловіча,23.08.1978,Фермер,селище Зугрес,"провулок Хімічний 3-й, буд. 999, Овруч, 81445",+380 53 855-29-20,babiichukalbert@example.com
Уманець,Орхип,Петрович,Чоловіча,17.12.1963,Електрослюсар,хутір Кам'янка (Черкаська область),"вулиця Степова, буд. 628, Верхньодніпровськ, 11669",065 299-31-35,ihnathuzii@example.org
Асаула,Левко,Сергійович,Чоловіча,26.03.1945,Драматург,хутір Лиман ,"провулок Соляний 6-й, буд. 048, Слов'янськ, 20330",+380 90 956-58-39,kolisnychenkoarkadii@example.org
Оробець,Марина,Володимирівна,Жіноча,12.11.1992,Правник,селище Дніпрорудне,"сквер Флотський 4-й, буд. 481, Горлівка, 74684",045 007 36 78,zynoviizabarnyi@example.net
Гречко,Оксенія,Петрівна,Жіноча,04.10.1989,Фольклорист,місто Первомайськ,"шосе Бучми, буд. 6 кв. 56, Рудки, 05279",232-53-49,shevchenkoliubov@example.net
